Dataset,Model,Overall Metrics,Zero Metrics,,,Nonzero Metrics,,,,,,,,,,,
,,QL(0.5),Precision,Recall,F1 score,MAE,RMSE,"[0, q10] RMSE","(q10, q25] RMSE","(q25, q50] RMSE","(q50, q75] RMSE","(q75, q90] RMSE","(q90, ∞) RMSE",intermittent RMSE,lumpy RMSE,smooth RMSE,erratic RMSE,,
"M5
",PatchTST,0.507,-,-,-,1.597,2.976,1.016,-,1.457,1.946,2.825,8.100,1.517,2.818,4.287,5.422,,
,PatchTST(τ=0.5),0.482,0.793,0.662,0.722,1.658,3.001,1.016,-,1.457,1.946,2.825,8.100,1.533,2.825,4.288,5.423,,
,PatchMixer,0.494,-,-,-,1.637,3.002,1.016,-,1.483,1.983,2.872,8.157,1.515,2.845,4.240,5.383,,
,PatchMixer(τ=0.5),0.476,0.776,0.711,0.742,1.700,3.030,1.016,-,1.483,1.983,2.872,8.157,1.533,2.855,4.241,5.384,,
,PatchTSMixer,0.505,-,-,-,1.589,2.945,0.995,-,1.443,1.933,2.812,8.013,1.497,2.801,4.222,5.412,,
,PatchTSMixer(τ=0.5),0.479,0.791,0.668,0.724,1.653,2.972,0.995,-,1.443,1.933,2.812,8.013,1.514,2.809,4.222,5.412,,
,PatchTCN,0.512,-,-,-,1.622,3.046,1.011,-,1.458,1.951,2.851,8.350,1.553,2.834,4.492,5.588,,
,PatchTCN(τ=0.5),0.487,0.791,0.665,0.723,1.685,3.071,1.011,-,1.458,1.951,2.851,8.350,1.569,2.842,4.493,5.588,,
,TTM,0.508,-,-,-,1.603,2.986,1.002,-,1.448,1.944,2.831,8.148,1.520,2.811,4.341,5.487,,
,TTM(τ=0.5),0.483,0.791,0.666,0.723,1.666,3.012,1.002,-,1.448,1.944,2.831,8.148,1.537,2.818,4.342,5.487,,
,TimesFM,0.478,-,-,-,1.768,3.154,1.110,-,1.614,2.169,3.090,8.462,1.587,2.948,4.247,5.721,,
,TimesFM(τ=0.5),0.476,0.743,0.795,0.768,1.799,3.170,1.110,-,1.614,2.169,3.090,8.462,1.598,2.958,4.248,5.722,,
,Autoformer,0.598,-,-,-,1.848,3.531,1.286,-,1.788,2.329,3.381,9.521,1.849,3.318,5.570,7.369,,
,Autoformer(τ=0.5),0.580,0.743,0.611,0.671,1.900,3.551,1.286,-,1.788,2.329,3.381,9.521,1.861,3.325,5.573,7.371,,
,MOMENT,0.809,-,-,-,2.254,5.000,1.058,-,1.263,1.891,3.384,15.057,2.649,3.748,9.335,7.406,,
,MOMENT(τ=0.5),0.798,0.676,0.274,0.390,2.304,5.020,1.058,-,1.263,1.891,3.384,15.057,2.660,3.759,9.341,7.415,,
,Timer,0.785,-,-,-,2.238,5.179,0.761,-,1.062,1.832,3.462,15.755,2.608,3.772,10.070,7.653,,
,Timer(τ=0.5),0.772,0.717,0.224,0.341,2.280,5.194,0.761,-,1.062,1.832,3.462,15.755,2.615,3.782,10.075,7.661,,
,DLinear,0.512,-,-,-,1.596,2.973,0.998,-,1.450,1.934,2.817,8.110,1.520,2.819,4.354,5.646,,
,DLinear(τ=0.5),0.487,0.793,0.654,0.716,1.659,2.999,0.998,-,1.450,1.934,2.817,8.110,1.536,2.827,4.355,5.646,,
,LSTM,0.532,-,-,-,1.706,3.217,1.026,-,1.506,2.036,3.021,8.859,1.664,2.981,4.643,5.765,,
,LSTM(τ=0.5),0.508,0.773,0.665,0.715,1.768,3.244,1.026,-,1.506,2.036,3.021,8.859,1.681,2.990,4.643,5.765,,
,TCN,0.522,-,-,-,1.652,3.099,1.009,-,1.489,1.996,2.955,8.477,1.585,2.953,4.364,5.745,,
,TCN(τ=0.5),0.496,0.784,0.655,0.714,1.708,3.112,1.009,-,1.489,1.996,2.955,8.477,1.591,2.951,4.365,5.745,,
,WaveNet-like,0.522,-,-,-,1.638,3.076,1.005,-,1.476,1.986,2.932,8.413,1.572,2.922,4.429,5.799,,
,WaveNet-like(τ=0.5),0.497,0.788,0.648,0.711,1.700,3.102,1.005,-,1.476,1.986,2.932,8.413,1.589,2.928,4.429,5.799,,
