Dataset,Model,Overall Metrics,Zero Metrics,,,Nonzero Metrics,,,,,,,,,,,
,,QL(0.5),Precision,Recall,F1 score,MAE,RMSE,"[0, q10] RMSE","(q10, q25] RMSE","(q25, q50] RMSE","(q50, q75] RMSE","(q75, q90] RMSE","(q90, ∞) RMSE",intermittent RMSE,lumpy RMSE,smooth RMSE,erratic RMSE,,
"Parts
",PatchTST,0.347,-,-,-,1.072,1.622,0.610,-,-,1.299,2.085,4.661,1.119,0.883,0.960,0.703,,
,PatchTST(τ=0.5),0.313,0.756,0.596,0.666,1.179,1.702,0.610,-,-,1.299,2.085,4.661,1.144,0.903,0.988,0.747,,
,PatchMixer,0.313,-,-,-,1.198,1.738,0.661,-,-,1.444,2.278,4.915,1.118,0.864,0.971,0.620,,
,PatchMixer(τ=0.5),0.284,0.736,0.763,0.749,1.334,1.840,0.661,-,-,1.444,2.278,4.915,1.157,0.908,1.054,0.632,,
,PatchTSMixer,0.353,-,-,-,1.012,1.578,0.552,-,-,1.241,2.038,4.591,1.110,0.877,0.961,0.694,,
,PatchTSMixer(τ=0.5),0.320,0.764,0.539,0.632,1.116,1.659,0.552,-,-,1.241,2.038,4.591,1.136,0.891,0.973,0.723,,
,PatchTCN,0.329,-,-,-,1.136,1.680,0.637,-,-,1.365,2.210,4.778,1.115,0.881,0.986,0.718,,
,PatchTCN(τ=0.5),0.298,0.743,0.687,0.714,1.259,1.769,0.637,-,-,1.365,2.210,4.778,1.146,0.912,1.020,0.781,,
,TTM,0.374,-,-,-,1.055,1.601,0.649,-,-,1.324,2.027,4.525,1.179,0.952,1.077,0.861,,
,TTM(τ=0.5),0.351,0.740,0.532,0.619,1.154,1.678,0.649,-,-,1.324,2.027,4.525,1.204,0.974,1.109,0.937,,
,TimesFM,0.302,-,-,-,1.288,1.816,0.792,-,-,1.520,2.325,5.034,1.162,0.900,1.089,0.749,,
,TimesFM(τ=0.5),0.292,0.727,0.782,0.753,1.362,1.875,0.792,-,-,1.520,2.325,5.034,1.186,0.936,1.141,0.794,,
,Autoformer,0.418,-,-,-,1.139,1.662,0.815,-,-,1.367,2.105,4.522,1.255,1.384,1.132,1.267,,
,Autoformer(τ=0.5),0.406,0.728,0.511,0.601,1.184,1.699,0.815,-,-,1.367,2.105,4.522,1.266,1.391,1.153,1.270,,
,MOMENT,0.360,-,-,-,1.319,1.901,0.639,-,-,1.597,2.609,5.383,1.224,0.937,0.969,0.582,,
,MOMENT(τ=0.5),0.330,0.665,0.665,0.665,1.503,2.051,0.639,-,-,1.597,2.609,5.383,1.288,1.007,1.045,0.668,,
,DLinear,0.522,-,-,-,1.288,1.874,0.844,-,-,1.468,2.389,5.260,1.469,1.424,1.912,2.046,,
,DLinear(τ=0.5),0.513,0.628,0.378,0.472,1.339,1.919,0.844,-,-,1.468,2.389,5.260,1.487,1.434,1.910,2.048,,
,LSTM,0.471,-,-,-,0.994,1.654,0.419,-,-,1.198,2.161,5.014,1.268,1.107,1.451,1.469,,
,LSTM(τ=0.5),0.468,0.520,0.106,0.177,1.068,1.732,0.419,-,-,1.198,2.161,5.014,1.302,1.120,1.451,1.469,,
,TCN,0.469,-,-,-,1.003,1.671,0.409,-,-,1.213,2.222,5.054,1.262,1.143,1.392,1.422,,
,TCN(τ=0.5),0.468,0.474,0.089,0.150,1.071,1.734,0.409,-,-,1.213,2.222,5.054,1.287,1.167,1.392,1.422,,
,WaveNet-like,0.455,-,-,-,1.003,1.667,0.406,-,-,1.231,2.198,5.033,1.246,1.085,1.372,1.373,,
,WaveNet-like(τ=0.5),0.452,0.534,0.123,0.199,1.083,1.746,0.406,-,-,1.231,2.198,5.033,1.280,1.100,1.372,1.373,,
,Moirai,0.333,-,-,-,1.156,1.722,0.707,-,-,1.395,2.171,4.887,1.168,0.929,1.108,0.633,,
,Moirai(τ=0.5),0.321,0.743,0.621,0.676,1.212,1.770,0.707,-,-,1.395,2.171,4.887,1.187,0.943,1.134,0.644,,
,DeepAR,0.320,-,-,-,1.312,1.871,0.716,-,-,1.573,2.459,5.265,1.185,0.915,0.958,0.643,,
,DeepAR(τ=0.5),0.296,0.715,0.752,0.733,1.418,1.952,0.716,-,-,1.573,2.459,5.265,1.217,0.953,1.000,0.637,,
,TweedieGP,0.316,-,-,-,1.338,1.929,0.823,-,-,1.627,2.434,5.377,1.241,1.027,1.005,0.778,,
,TweedieGP(τ=0.5),0.316,0.706,0.717,0.711,1.340,1.930,0.823,-,-,1.627,2.434,5.377,1.241,1.030,1.005,0.778,,
,HurdleDLinear,0.364,-,-,-,1.544,2.057,0.915,-,-,1.804,2.771,5.524,1.349,1.102,1.368,1.384,,
,HurdleDLinear(τ=0.5),0.357,0.665,0.773,0.715,1.572,2.077,0.915,-,-,1.804,2.771,5.524,1.356,1.112,1.366,1.391,,
,Croston,0.435,-,-,-,1.048,1.714,0.411,-,-,1.318,2.286,5.125,1.234,1.046,1.120,1.075,,
,Croston(τ=0.5),0.431,0.526,0.148,0.230,1.141,1.804,0.411,-,-,1.318,2.286,5.125,1.274,1.071,1.120,1.075,,
,SBA,0.426,-,-,-,1.071,1.732,0.423,-,-,1.348,2.320,5.155,1.226,1.025,1.085,1.027,,
,SBA(τ=0.5),0.417,0.566,0.193,0.288,1.174,1.830,0.423,-,-,1.348,2.320,5.155,1.269,1.050,1.085,1.027,,
,TSB,0.378,-,-,-,0.944,1.559,0.418,-,-,1.161,2.003,4.700,1.121,0.904,1.010,0.843,,
,TSB(τ=0.5),0.346,0.792,0.368,0.503,1.019,1.618,0.418,-,-,1.161,2.003,4.700,1.135,0.911,1.019,0.843,,
,Chronos,0.305,-,-,-,1.388,1.934,0.862,-,-,1.714,2.455,5.255,1.244,0.937,1.107,0.729,,
,Chronos(τ=0.5),0.303,0.706,0.783,0.743,1.404,1.946,0.862,-,-,1.714,2.455,5.255,1.249,0.940,1.109,0.729,,
,FEDformer,0.420,-,-,-,1.113,1.641,0.802,-,-,1.327,2.076,4.490,1.251,1.378,1.554,1.415,,
,FEDformer(τ=0.5),0.408,0.736,0.506,0.600,1.158,1.679,0.802,-,-,1.327,2.076,4.490,1.263,1.389,1.561,1.421,,
,DeepAR(negbin),0.296,-,-,-,1.414,1.945,0.877,-,-,1.681,2.589,5.247,1.218,0.981,1.103,0.764,,
,DeepAR(negbin)(τ=0.5),0.296,0.707,0.816,0.757,1.414,1.945,0.877,-,-,1.681,2.589,5.247,1.218,0.981,1.103,0.764,,
